energy_ev,averaged_transmission,transmission_per_area_m^-2,transmission_direction,area_angstrom^2
-0.183746629833933,6.204999999999999,9.210678144504097e+18,3,67.3674609258
-0.1819091635355937,6.897500000000001,1.0238622482146177e+19,3,67.3674609258
-0.18007169723725436,5.8675,8.709694442043158e+18,3,67.3674609258
-0.178234230938915,6.522500000000001,9.681973923856243e+18,3,67.3674609258
-0.1763967646405757,6.395,9.492713414037664e+18,3,67.3674609258
-0.17455929834223635,6.6225000000000005,9.830413539400225e+18,3,67.3674609258
-0.17272183204389704,7.3525,1.0914022732871295e+19,3,67.3674609258
-0.1708843657455577,7.32,1.08657798578195e+19,3,67.3674609258
-0.16904689944721835,7.9,1.1726729627974599e+19,3,67.3674609258
-0.16720943314887904,7.59,1.1266566819788253e+19,3,67.3674609258
-0.1653719668505397,7.1375,1.0594877559451734e+19,3,67.3674609258
-0.1635345005522004,6.702500000000001,9.94916523183541e+18,3,67.3674609258
-0.16169703425386106,6.4525,9.578066192975454e+18,3,67.3674609258
-0.1598595679555217,5.0675,7.5221775176913e+18,3,67.3674609258
-0.1580221016571824,5.0024999999999995,7.425691767587711e+18,3,67.3674609258
-0.15618463535884305,4.115,6.108290179634869e+18,3,67.3674609258
-0.15434716906050372,3.5700000000000003,5.299294274920166e+18,3,67.3674609258
-0.1525097027621644,3.505,5.202808524816578e+18,3,67.3674609258
-0.15067223646382505,3.1625000000000005,4.69440284157844e+18,3,67.3674609258
-0.14883477016548574,2.9175000000000004,4.3307257834956826e+18,3,67.3674609258
-0.1469973038671464,2.37,3.5180188883923794e+18,3,67.3674609258
-0.14515983756880707,2.085,3.09496598409203e+18,3,67.3674609258
-0.14332237127046774,1.9000000000000001,2.820352695335663e+18,3,67.3674609258
-0.1414849049721284,1.44,2.1375304638333443e+18,3,67.3674609258
-0.1396474386737891,1.05,1.5586159632118136e+18,3,67.3674609258
-0.13780997237544976,1.165,1.7293215210873933e+18,3,67.3674609258
-0.13597250607711042,1.0075,1.4955291266056212e+18,3,67.3674609258
-0.1341350397787711,1.1575,1.7181885499215944e+18,3,67.3674609258
-0.13229757348043175,1.155,1.714477559532995e+18,3,67.3674609258
-0.13046010718209242,1.11,1.6476797325382031e+18,3,67.3674609258
-0.1286226408837531,1.3075,1.940847973237568e+18,3,67.3674609258
-0.12678517458541377,1.5325000000000002,2.2748371082115282e+18,3,67.3674609258
-0.12494770828707444,1.7275,2.564294358522293e+18,3,67.3674609258
-0.1231102419887351,2.2,3.26567154196761e+18,3,67.3674609258
-0.12127277569039578,2.455,3.644192561604764e+18,3,67.3674609258
-0.11943530939205646,2.7874999999999996,4.137754283288505e+18,3,67.3674609258
-0.11759784309371712,3.0549999999999997,4.534830254868657e+18,3,67.3674609258
-0.11576037679537779,3.37,5.002415043832202e+18,3,67.3674609258
-0.11392291049703845,3.8199999999999994,5.670393313780121e+18,3,67.3674609258
-0.11208544419869913,4.17,6.18993196818406e+18,3,67.3674609258
-0.11024797790035981,4.2749999999999995,6.345793564505241e+18,3,67.3674609258
-0.10841051160202046,3.99,5.922740660204892e+18,3,67.3674609258
-0.10657304530368114,3.9800000000000004,5.907896698650494e+18,3,67.3674609258
-0.10473557900534182,4.1325,6.134267112355067e+18,3,67.3674609258
-0.10289811270700248,3.8325,5.68894826572312e+18,3,67.3674609258
-0.10106064640866315,3.8249999999999997,5.67781529455732e+18,3,67.3674609258
-0.09922318011032381,4.035,5.989538487199684e+18,3,67.3674609258
-0.09738571381198449,4.26,6.323527622173644e+18,3,67.3674609258
-0.09554824751364516,4.3950000000000005,6.52392110315802e+18,3,67.3674609258
-0.09371078121530582,4.619999999999999,6.857910238131978e+18,3,67.3674609258
-0.0918733149169665,4.74,7.036037776784759e+18,3,67.3674609258
-0.09003584861862717,4.734999999999999,7.028615796007558e+18,3,67.3674609258
-0.08819838232028784,4.4225,6.564741997432615e+18,3,67.3674609258
-0.0863609160219485,4.06,6.026648391085679e+18,3,67.3674609258
-0.08452344972360917,4.08,6.056336314194476e+18,3,67.3674609258
-0.08268598342526985,3.5949999999999998,5.336404178806161e+18,3,67.3674609258
-0.08084851712693052,3.1550000000000002,4.68326987041264e+18,3,67.3674609258
-0.0790110508285912,3.6975,5.488554784738743e+18,3,67.3674609258
-0.07717358453025185,3.9324999999999997,5.837387881267102e+18,3,67.3674609258
-0.07533611823191252,4.862500000000001,7.217876305826138e+18,3,67.3674609258
-0.0734986519335732,4.7675,7.076858671059354e+18,3,67.3674609258
-0.07166118563523387,5.495,8.156756874141825e+18,3,67.3674609258
-0.06982371933689455,5.63,8.3571503551262e+18,3,67.3674609258
-0.0679862530385552,6.45,9.574355202586855e+18,3,67.3674609258
-0.06614878674021588,6.44,9.559511241032458e+18,3,67.3674609258
-0.06431132044187655,7.16,1.062827647294913e+19,3,67.3674609258
-0.06247385414353721,6.4125000000000005,9.518690346757861e+18,3,67.3674609258
-0.06063638784519789,5.702499999999999,8.464769076395586e+18,3,67.3674609258
-0.05879892154685855,5.1425,7.633507229349287e+18,3,67.3674609258
-0.05696145524851923,4.995000000000001,7.414558796421915e+18,3,67.3674609258
-0.055123988950179906,4.7425,7.039748767173358e+18,3,67.3674609258
-0.053286522651840564,4.6125,6.846777266966181e+18,3,67.3674609258
-0.05144905635350124,4.155,6.167666025852463e+18,3,67.3674609258
-0.0496115900551619,3.67,5.447733890464148e+18,3,67.3674609258
-0.04777412375682258,3.64,5.403202005800954e+18,3,67.3674609258
-0.04593665745848325,3.325,4.93561721683741e+18,3,67.3674609258
-0.044099191160143915,2.9275,4.345569745050081e+18,3,67.3674609258
-0.04226172486180459,2.9074999999999998,4.3158818219412833e+18,3,67.3674609258
-0.04042425856346525,2.41,3.577394734609972e+18,3,67.3674609258
-0.03858679226512592,2.25,3.3398913497396004e+18,3,67.3674609258
-0.0367493259667866,1.8775,2.7869537818382664e+18,3,67.3674609258
-0.03491185966844728,1.5550000000000002,2.3082360217089244e+18,3,67.3674609258
-0.033074393370107924,1.8850000000000002,2.798086753004066e+18,3,67.3674609258
-0.0312369270717686,2.215,3.2879374842992067e+18,3,67.3674609258
-0.029399460773429274,2.12,3.1469198495324237e+18,3,67.3674609258
-0.027561994475089953,1.9849999999999999,2.9465263685480474e+18,3,67.3674609258
-0.025724528176750628,1.625,2.4121437525897114e+18,3,67.3674609258
-0.023887061878411272,1.355,2.0113567906209595e+18,3,67.3674609258
-0.022049595580071947,0.9650000000000001,1.4324422899994289e+18,3,67.3674609258
-0.020212129281732626,0.5675,8.423948182120992e+17,3,67.3674609258
-0.0183746629833933,0.3025,4.490298370205463e+17,3,67.3674609258
-0.016537196685053976,0.2025,3.005902214765641e+17,3,67.3674609258
-0.014699730386714622,0.1875,2.7832427914496672e+17,3,67.3674609258
-0.012862264088375297,0.1225,1.8183852904137824e+17,3,67.3674609258
-0.011024797790035974,0.1375,2.041044713729756e+17,3,67.3674609258
-0.00918733149169665,0.15750000000000003,2.337923944817721e+17,3,67.3674609258
-0.007349865193357294,0.15750000000000003,2.337923944817721e+17,3,67.3674609258
-0.00551239889501797,0.3225,4.787177601293428e+17,3,67.3674609258
-0.003674932596678647,0.555,8.238398662691016e+17,3,67.3674609258
-0.0018374662983393236,0.8125,1.2060718762948557e+18,3,67.3674609258
0.0,1.0074999999999998,1.495529126605621e+18,3,67.3674609258
0.0018374662983393236,1.195,1.773853405750588e+18,3,67.3674609258
0.003674932596678647,2.1049999999999995,3.124653907200826e+18,3,67.3674609258
0.00551239889501797,2.1799999999999997,3.2359836188588124e+18,3,67.3674609258
0.007349865193357294,2.015,2.9910582532112425e+18,3,67.3674609258
0.00918733149169665,1.0825,1.6068588382636078e+18,3,67.3674609258
0.011024797790035974,1.0175,1.5103730881600195e+18,3,67.3674609258
0.012862264088375297,0.435,6.457123276163228e+17,3,67.3674609258
0.014699730386714622,0.36,5.3438261595833606e+17,3,67.3674609258
0.016537196685053976,0.39,5.789145006215308e+17,3,67.3674609258
0.0183746629833933,0.6725,9.982564145332806e+17,3,67.3674609258
0.020212129281732626,0.8724999999999998,1.295135645621245e+18,3,67.3674609258
0.022049595580071947,1.0025,1.488107145828422e+18,3,67.3674609258
0.023887061878411272,0.9424999999999999,1.3990433765020326e+18,3,67.3674609258
0.025724528176750628,0.9824999999999999,1.4584192227196255e+18,3,67.3674609258
0.027561994475089953,1.1775,1.747876473030391e+18,3,67.3674609258
0.029399460773429274,1.2049999999999998,1.7886973673049859e+18,3,67.3674609258
0.0312369270717686,1.295,1.92229302129457e+18,3,67.3674609258
0.033074393370107924,1.48,2.1969063100509373e+18,3,67.3674609258
0.03491185966844728,1.7800000000000002,2.6422251566828846e+18,3,67.3674609258
0.0367493259667866,1.8800000000000001,2.790664772226866e+18,3,67.3674609258
0.03858679226512592,2.46,3.6516145423819633e+18,3,67.3674609258
0.04042425856346525,3.0700000000000003,4.5570961972002555e+18,3,67.3674609258
0.04226172486180459,3.6625,5.43660091929835e+18,3,67.3674609258
0.044099191160143915,3.6975000000000007,5.488554784738744e+18,3,67.3674609258
0.04593665745848325,4.1325,6.134267112355067e+18,3,67.3674609258
0.04777412375682258,4.24,6.293839699064847e+18,3,67.3674609258
0.0496115900551619,4.28,6.35321554528244e+18,3,67.3674609258
0.05144905635350124,4.725,7.013771834453161e+18,3,67.3674609258
0.053286522651840564,5.095,7.562998411965895e+18,3,67.3674609258
0.055123988950179906,4.7675,7.076858671059354e+18,3,67.3674609258
0.05696145524851923,5.29,7.852455662276661e+18,3,67.3674609258
0.05879892154685855,5.35,7.941519431603049e+18,3,67.3674609258
0.06063638784519789,5.8825,8.731960384374756e+18,3,67.3674609258
0.06247385414353721,6.1975,9.199545173338299e+18,3,67.3674609258
0.06431132044187655,6.4624999999999995,9.592910154529851e+18,3,67.3674609258
0.06614878674021588,6.1775,9.169857250229504e+18,3,67.3674609258
0.0679862530385552,5.635,8.364572335903399e+18,3,67.3674609258
0.06982371933689455,6.6,9.797014625902828e+18,3,67.3674609258
0.07166118563523387,5.77,8.564965816887775e+18,3,67.3674609258
0.0734986519335732,6.175000000000001,9.166146259840905e+18,3,67.3674609258
0.07533611823191252,6.775,1.0056783953104798e+19,3,67.3674609258
0.07717358453025185,6.315,9.37396172160248e+18,3,67.3674609258
0.0790110508285912,6.4125000000000005,9.518690346757861e+18,3,67.3674609258
0.08084851712693052,6.732500000000001,9.993697116498606e+18,3,67.3674609258
0.08268598342526985,6.9375,1.0297998328363768e+19,3,67.3674609258
0.08452344972360917,6.855,1.0175535645539983e+19,3,67.3674609258
0.0863609160219485,6.922499999999999,1.027573238603217e+19,3,67.3674609258
0.08819838232028784,7.3275,1.0876912828985299e+19,3,67.3674609258
0.09003584861862717,7.22,1.0717340242275518e+19,3,67.3674609258
0.0918733149169665,7.6,1.128141078134265e+19,3,67.3674609258
0.09371078121530582,7.262499999999999,1.078042707888171e+19,3,67.3674609258
0.09554824751364516,7.615,1.130367672367425e+19,3,67.3674609258
0.09738571381198449,7.3675,1.0936288675202892e+19,3,67.3674609258
0.09922318011032381,7.227499999999999,1.0728473213441315e+19,3,67.3674609258
0.10106064640866315,8.1125,1.204216381100556e+19,3,67.3674609258
0.10289811270700248,9.16,1.3597068783828775e+19,3,67.3674609258
0.10473557900534182,8.794999999999998,1.3055264187093236e+19,3,67.3674609258
0.10657304530368114,8.96,1.330018955274081e+19,3,67.3674609258
0.10841051160202046,9.2375,1.3712109485875362e+19,3,67.3674609258
0.11024797790035981,9.395,1.3945901880357132e+19,3,67.3674609258
0.11208544419869913,9.09,1.3493161052947986e+19,3,67.3674609258
0.11392291049703845,9.177499999999998,1.3623045716548968e+19,3,67.3674609258
0.11576037679537779,8.29,1.2305644128596128e+19,3,67.3674609258
0.11759784309371712,8.0225,1.1908568157015978e+19,3,67.3674609258
0.11943530939205646,7.8625,1.1671064772145605e+19,3,67.3674609258
0.12127277569039578,7.842499999999999,1.1641376849036806e+19,3,67.3674609258
0.1231102419887351,7.865,1.1674775762534203e+19,3,67.3674609258
0.12494770828707444,8.6775,1.288084763882906e+19,3,67.3674609258
0.12678517458541377,8.02,1.1904857166627375e+19,3,67.3674609258
0.1286226408837531,7.035,1.0442726953519151e+19,3,67.3674609258
0.13046010718209242,7.370000000000001,1.0939999665591493e+19,3,67.3674609258
0.13229757348043175,7.250000000000001,1.0761872126938714e+19,3,67.3674609258
0.1341350397787711,7.5525,1.121090196395926e+19,3,67.3674609258
0.13597250607711042,7.7125,1.144840534882963e+19,3,67.3674609258
0.13780997237544976,8.1375,1.2079273714891555e+19,3,67.3674609258
0.1396474386737891,8.48,1.2587679398129695e+19,3,67.3674609258
0.1414849049721284,8.51,1.2632211282792888e+19,3,67.3674609258
0.14332237127046774,8.0425,1.1938256080124772e+19,3,67.3674609258
0.14515983756880707,8.5375,1.2673032177067483e+19,3,67.3674609258
0.1469973038671464,8.3925,1.245779473452871e+19,3,67.3674609258
0.14883477016548574,7.8425,1.1641376849036808e+19,3,67.3674609258
0.15067223646382505,7.527500000000001,1.1173792060073265e+19,3,67.3674609258
0.1525097027621644,6.6775,9.912055327949414e+18,3,67.3674609258
0.15434716906050372,7.4750000000000005,1.1095861261912674e+19,3,67.3674609258
0.15618463535884305,7.765,1.1526336146990221e+19,3,67.3674609258
0.1580221016571824,8.0825,1.1997631926342365e+19,3,67.3674609258
0.1598595679555217,8.6875,1.2895691600383457e+19,3,67.3674609258
0.16169703425386106,8.615,1.278807287911407e+19,3,67.3674609258
0.1635345005522004,8.375,1.2431817801808513e+19,3,67.3674609258
0.1653719668505397,7.527499999999999,1.1173792060073261e+19,3,67.3674609258
0.16720943314887904,6.36,9.44075954859727e+18,3,67.3674609258
0.16904689944721835,6.329999999999999,9.396227663934075e+18,3,67.3674609258
0.1708843657455577,6.78,1.0064205933881997e+19,3,67.3674609258
0.17272183204389704,6.975,1.0353663184192762e+19,3,67.3674609258
0.17455929834223635,7.822500000000001,1.1611688925928012e+19,3,67.3674609258
0.1763967646405757,8.072500000000002,1.198278796478797e+19,3,67.3674609258
0.178234230938915,7.515,1.1155237108130265e+19,3,67.3674609258
0.18007169723725436,7.487500000000001,1.1114416213855672e+19,3,67.3674609258
0.1819091635355937,7.597500000000001,1.1277699790954054e+19,3,67.3674609258
0.183746629833933,6.615,9.819280568234426e+18,3,67.3674609258
