temperature_k,electrical_conductance_per_area_s_m^-2,electronic_thermal_conductance_per_area_w_k^-1_m^-2,chemical_potential_ev,transmission_direction,area_angstrom^2
50.0,290171908718067.25,300396184.121861,0.0,3,29.9411133444
51.75879396984924,289484396787159.56,310764076.66221994,0.0,3,29.9411133444
53.517587939698494,288857634025020.8,321210048.4166355,0.0,3,29.9411133444
55.27638190954774,288286226385878.0,331740164.5492171,0.0,3,29.9411133444
57.03517587939699,287765090031777.75,342361586.2204551,0.0,3,29.9411133444
58.79396984924623,287289477278148.0,353082385.8896258,0.0,3,29.9411133444
60.552763819095475,286854990692218.9,363911368.1157244,0.0,3,29.9411133444
62.311557788944725,286457587808302.1,374857900.9451661,0.0,3,29.9411133444
64.07035175879398,286093578524547.5,385931760.91949296,0.0,3,29.9411133444
65.82914572864321,285759616899375.75,397142993.2199659,0.0,3,29.9411133444
67.58793969849246,285452688767301.0,408501787.38487536,0.0,3,29.9411133444
69.34673366834171,285170096338317.75,420018368.2966859,0.0,3,29.9411133444
71.10552763819095,284909440727646.6,431702901.65967464,0.0,3,29.9411133444
72.8643216080402,284668603178822.75,443565412.90778244,0.0,3,29.9411133444
74.62311557788945,284445725588638.25,455615718.342899,0.0,3,29.9411133444
76.3819095477387,284239190813388.94,467863367.26313287,0.0,3,29.9411133444
78.14070351758794,284047603128699.7,480317593.86595863,0.0,3,29.9411133444
79.89949748743719,283869769126745.5,492987277.77791375,0.0,3,29.9411133444
81.65829145728644,283704679262141.8,505880912.15273976,0.0,3,29.9411133444
83.41708542713567,283551490198691.94,519006578.38087636,0.0,3,29.9411133444
85.17587939698493,283409508061416.0,532371926.5563248,0.0,3,29.9411133444
86.93467336683418,283278172659985.56,545984160.9464695,0.0,3,29.9411133444
88.69346733668343,283157042719287.56,559850029.8031869,0.0,3,29.9411133444
90.45226130653266,283045782128956.5,573975818.9375778,0.0,3,29.9411133444
92.21105527638191,282944147205225.7,588367348.5553807,0.0,3,29.9411133444
93.96984924623115,282851974944370.6,603029972.9155157,0.0,3,29.9411133444
95.7286432160804,282769172236531.06,617968582.4308659,0.0,3,29.9411133444
97.48743718592965,282695706001143.9,633187607.8790396,0.0,3,29.9411133444
99.2462311557789,282631594199993.44,648691026.4324089,0.0,3,29.9411133444
101.00502512562815,282576897680550.5,664482369.2520946,0.0,3,29.9411133444
102.76381909547739,282531712800410.8,680564730.4206858,0.0,3,29.9411133444
104.52261306532664,282496164782955.8,696940777.0141115,0.0,3,29.9411133444
106.28140703517587,282470401754562.9,713612760.1350561,0.0,3,29.9411133444
108.04020100502512,282454589414590.4,730582526.7491807,0.0,3,29.9411133444
109.79899497487438,282448906290765.9,747851532.1817973,0.0,3,29.9411133444
111.55778894472363,282453539534386.5,765420853.1469773,0.0,3,29.9411133444
113.31658291457288,282468681211772.5,783291201.193755,0.0,3,29.9411133444
115.07537688442211,282494525050621.56,801462936.4653918,0.0,3,29.9411133444
116.83417085427136,282531263602207.7,819936081.6779032,0.0,3,29.9411133444
118.5929648241206,282579085782712.0,838710336.233345,0.0,3,29.9411133444
120.35175879396985,282638174759311.1,857785090.391918,0.0,3,29.9411133444
122.1105527638191,282708706148948.25,877159439.4348363,0.0,3,29.9411133444
123.86934673366835,282790846499961.3,896832197.7572825,0.0,3,29.9411133444
125.62814070351759,282884752028903.3,916801912.8375955,0.0,3,29.9411133444
127.38693467336684,282990567586964.94,937066879.0352601,0.0,3,29.9411133444
