temperature_k,electrical_conductance_per_area_s_m^-2,electronic_thermal_conductance_per_area_w_k^-1_m^-2,chemical_potential_ev,transmission_direction,area_angstrom^2
50.0,302777629095084.75,339549504.658774,0.0,1,33.98778712895642
51.75879396984924,302556016828539.7,353122022.8625194,0.0,1,33.98778712895642
53.517587939698494,302363712037736.94,367008426.93040013,0.0,1,33.98778712895642
55.27638190954774,302200389126162.44,381208994.67842615,0.0,1,33.98778712895642
57.03517587939699,302065573242462.44,395721877.08835,0.0,1,33.98778712895642
58.79396984924623,301958680108461.9,410543308.94745666,0.0,1,33.98778712895642
60.552763819095475,301879047413943.9,425667834.90596133,0.0,1,33.98778712895642
62.311557788944725,301825959369999.1,441088543.8565738,0.0,1,33.98778712895642
64.07035175879398,301798665756205.06,456797305.09957814,0.0,1,33.98778712895642
65.82914572864321,301796396568616.75,472785000.5717289,0.0,1,33.98778712895642
67.58793969849246,301818373177248.56,489041748.3562236,0.0,1,33.98778712895642
69.34673366834171,301863816732545.06,505557113.65973145,0.0,1,33.98778712895642
71.10552763819095,301931954418043.0,522320304.37728447,0.0,1,33.98778712895642
72.8643216080402,302022024028105.56,539320349.2267205,0.0,1,33.98778712895642
74.62311557788945,302133277252180.1,556546257.1988246,0.0,1,33.98778712895642
76.3819095477387,302264981967476.44,573987157.7274373,0.0,1,33.98778712895642
78.14070351758794,302416423777474.7,591632421.5343164,0.0,1,33.98778712895642
79.89949748743719,302586906981774.56,609471762.5509129,0.0,1,33.98778712895642
81.65829145728644,302775755121285.44,627495321.6712909,0.0,1,33.98778712895642
83.41708542713567,302982311209765.25,645693733.3570229,0.0,1,33.98778712895642
85.17587939698493,303205937736661.75,664058176.3065437,0.0,1,33.98778712895642
86.93467336683418,303446016505754.4,682580409.5287466,0.0,1,33.98778712895642
88.69346733668343,303701948358147.25,701252795.2337459,0.0,1,33.98778712895642
90.45226130653266,303973152815807.9,720068309.9820818,0.0,1,33.98778712895642
92.21105527638191,304259067672350.94,739020545.5257684,0.0,1,33.98778712895642
93.96984924623115,304559148550521.0,758103700.7380917,0.0,1,33.98778712895642
95.7286432160804,304872868440350.0,777312565.9705296,0.0,1,33.98778712895642
97.48743718592965,305199717227866.25,796642501.1003704,0.0,1,33.98778712895642
99.2462311557789,305539201221199.9,816089408.4463685,0.0,1,33.98778712895642
101.00502512562815,305890842678706.6,835649701.6361927,0.0,1,33.98778712895642
102.76381909547739,306254179342148.94,855320271.4118797,0.0,1,33.98778712895642
104.52261306532664,306628763976838.25,875098449.2607112,0.0,1,33.98778712895642
106.28140703517587,307014163919876.25,894981969.6611383,0.0,1,33.98778712895642
108.04020100502512,307409960637112.2,914968931.6382729,0.0,1,33.98778712895642
109.79899497487438,307815749289101.1,935057760.2323397,0.0,1,33.98778712895642
111.55778894472363,308231138306152.94,955247168.3973687,0.0,1,33.98778712895642
113.31658291457288,308655748972447.94,975536119.7668939,0.0,1,33.98778712895642
115.07537688442211,309089215019153.7,995923792.648985,0.0,1,33.98778712895642
116.83417085427136,309531182226460.9,1016409545.5447679,0.0,1,33.98778712895642
118.5929648241206,309981308034478.1,1036992884.422774,0.0,1,33.98778712895642
120.35175879396985,310439261162942.4,1057673431.9258897,0.0,1,33.98778712895642
122.1105527638191,310904721239731.5,1078450898.6381946,0.0,1,33.98778712895642
123.86934673366835,311377378438195.7,1099325056.4953744,0.0,1,33.98778712895642
125.62814070351759,311856933123338.3,1120295714.3842607,0.0,1,33.98778712895642
127.38693467336684,312343095506899.1,1141362695.94415,0.0,1,33.98778712895642
129.1457286432161,312835585311396.9,1162525819.5544515,0.0,1,33.98778712895642
130.90452261306532,313334131443191.06,1183784880.4695365,0.0,1,33.98778712895642
132.66331658291458,313838471674620.25,1205139635.0420303,0.0,1,33.98778712895642
