temperature_k,electrical_conductance_per_area_s_m^-2,electronic_thermal_conductance_per_area_w_k^-1_m^-2,chemical_potential_ev,transmission_direction,area_angstrom^2
50.0,407589052668517.1,463561592.9017101,0.0,2,33.98778712895642
51.75879396984924,406693334144237.94,481142413.04614645,0.0,2,33.98778712895642
53.517587939698494,405859560159366.0,498926226.94392383,0.0,2,33.98778712895642
55.27638190954774,405085886285753.8,516903191.5016163,0.0,2,33.98778712895642
57.03517587939699,404370345434011.9,535063087.4184218,0.0,2,33.98778712895642
58.79396984924623,403710876686336.1,553395548.8482915,0.0,2,33.98778712895642
60.552763819095475,403105351395784.44,571890247.5645784,0.0,2,33.98778712895642
62.311557788944725,402551596578838.9,590537038.4105363,0.0,2,33.98778712895642
64.07035175879398,402047415672019.56,609326072.3135201,0.0,2,33.98778712895642
65.82914572864321,401590606759782.5,628247882.4499754,0.0,2,33.98778712895642
67.58793969849246,401178978409049.2,647293448.390987,0.0,2,33.98778712895642
69.34673366834171,400810363265648.6,666454242.3109651,0.0,2,33.98778712895642
71.10552763819095,400482629580548.2,685722260.6507547,0.0,2,33.98778712895642
72.8643216080402,400193690840080.94,705090044.0146428,0.0,2,33.98778712895642
74.62311557788945,399941513675569.8,724550687.5571238,0.0,2,33.98778712895642
76.3819095477387,399724124224900.94,744097843.6788731,0.0,2,33.98778712895642
78.14070351758794,399539613112681.3,763725718.4955338,0.0,2,33.98778712895642
79.89949748743719,399386139207462.6,783429063.2580049,0.0,2,33.98778712895642
81.65829145728644,399261932304862.1,803203161.6781709,0.0,2,33.98778712895642
83.41708542713567,399165294874798.06,823043813.9388562,0.0,2,33.98778712895642
85.17587939698493,399094602999995.6,842947318.0313476,0.0,2,33.98778712895642
86.93467336683418,399048306621725.6,862910448.9594468,0.0,2,33.98778712895642
88.69346733668343,399024929197731.1,882930436.2684574,0.0,2,33.98778712895642
90.45226130653266,399023066866640.8,903004940.2946328,0.0,2,33.98778712895642
92.21105527638191,399041387203042.2,923132027.4807823,0.0,2,33.98778712895642
93.96984924623115,399078627637864.7,943310145.0631269,0.0,2,33.98778712895642
95.7286432160804,399133593609869.56,963538095.4004321,0.0,2,33.98778712895642
97.48743718592965,399205156505898.0,983815010.1868374,0.0,2,33.98778712895642
99.2462311557789,399292251440068.4,1004140324.7632779,0.0,2,33.98778712895642
101.00502512562815,399393874915366.9,1024513752.717966,0.0,2,33.98778712895642
102.76381909547739,399509082404974.7,1044935260.9435381,0.0,2,33.98778712895642
104.52261306532664,399636985885227.1,1065405045.2967614,0.0,2,33.98778712895642
106.28140703517587,399776751347228.6,1085923506.9860349,0.0,2,33.98778712895642
108.04020100502512,399927596309846.0,1106491229.792268,0.0,2,33.98778712895642
109.79899497487438,400088787352996.4,1127108958.2100518,0.0,2,33.98778712895642
111.55778894472363,400259637686812.9,1147777576.5784857,0.0,2,33.98778712895642
113.31658291457288,400439504769356.3,1168498089.2546391,0.0,2,33.98778712895642
115.07537688442211,400627787983014.06,1189271601.867436,0.0,2,33.98778712895642
116.83417085427136,400823926377525.9,1210099303.675913,0.0,2,33.98778712895642
118.5929648241206,401027396485703.4,1230982451.0432444,0.0,2,33.98778712895642
120.35175879396985,401237710216286.8,1251922352.0267308,0.0,2,33.98778712895642
122.1105527638191,401454412827011.2,1272920352.0740933,0.0,2,33.98778712895642
123.86934673366835,401677080979791.7,1293977820.8078508,0.0,2,33.98778712895642
125.62814070351759,401905320878959.75,1315096139.8722472,0.0,2,33.98778712895642
127.38693467336684,402138766492665.6,1336276691.811095,0.0,2,33.98778712895642
129.1457286432161,402377077856889.9,1357520849.9398944,0.0,2,33.98778712895642
130.90452261306532,402619939460953.44,1378829969.1716354,0.0,2,33.98778712895642
132.66331658291458,402867058712973.5,1400205377.752665,0.0,2,33.98778712895642
134.42211055276383,403118164483351.25,1421648369.862853,0.0,2,33.98778712895642
136.18090452261305,403373005724107.6,1443160199.0328603,0.0,2,33.98778712895642
137.9396984924623,403631350161671.5,1464742072.3306339,0.0,2,33.98778712895642
139.69849246231155,403892983060565.9,1486395145.2690518,0.0,2,33.98778712895642
141.4572864321608,404157706055342.5,1508120517.387045,0.0,2,33.98778712895642
