# meta_json: {"summary": {"has_transmission_per_m2": true, "n_temperature_points": 401, "temperature_max_k": 400.0, "temperature_min_k": 0.0, "transmission_metadata": {"atom_symbols": ["N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[4.4099132673, -7.6381938357, 0.0], [4.4099132673, 7.6381938357, 0.0], [0.0, 0.0, 8.67052524]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 1, "transverse_area_m2": 6.622715244198181e-19}, "transmission_path": "/home/zhouhb/Desktop/workspace/TaN/phonon_hybrid/N3.7%/x/transmission.tsv"}}
# temperature_K	conductance_W_per_K	conductance_per_area_W_per_m2K
0.00000000	0.000000000000e+00	0.000000000000e+00
1.00000000	4.206234814109e-14	6.351224020682e+04
2.00000000	1.208900771636e-13	1.825385400188e+05
3.00000000	1.997447166298e-13	3.016054733817e+05
4.00000000	2.786018560910e-13	4.206761816236e+05
5.00000000	3.575149267094e-13	5.398313433794e+05
6.00000000	4.368125694130e-13	6.595671915620e+05
7.00000000	5.174912990713e-13	7.813884184809e+05
8.00000000	6.015784855991e-13	9.083562608646e+05
9.00000000	6.923984789262e-13	1.045490336509e+06
10.00000000	7.947866912169e-13	1.200091898732e+06
11.00000000	9.152536788936e-13	1.381991592792e+06
12.00000000	1.062051554602e-12	1.603649734951e+06
13.00000000	1.245098473736e-12	1.880042290550e+06
14.00000000	1.475750463708e-12	2.228316346534e+06
15.00000000	1.766444000428e-12	2.667250418135e+06
16.00000000	2.130253719123e-12	3.216586612250e+06
17.00000000	2.580415844943e-12	3.896311029231e+06
18.00000000	3.129863162883e-12	4.725951588550e+06
19.00000000	3.790806602568e-12	5.723946240764e+06
20.00000000	4.574385953631e-12	6.907115563573e+06
