# meta_json: {"atom_symbols": ["N", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[1.4699710891, -2.5460646119, 0.0], [1.4699710891, 2.5460646119, 0.0], [0.0, 0.0, 2.89017508]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 3, "transverse_area_m2": 7.485282740947223e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
2.6712386456e-03	8.78795298	293.13455851	1.848377705809e-85	2.469349214690e-66
2.7099522492e-03	8.91531462	297.38288545	2.186815309645e-95	2.921486582841e-76
2.7486658527e-03	9.04267626	301.63121238	2.207393158085e-104	2.948977659868e-85
2.7873794563e-03	9.17003789	305.87953932	1.006061034136e-112	1.344052147333e-93
2.8260930598e-03	9.29739953	310.12786625	1.350785264528e-120	1.804588164904e-101
2.8648066634e-03	9.42476117	314.37619319	3.865134031496e-128	5.163644668159e-109
2.9035202670e-03	9.55212281	318.62452012	1.781933561919e-135	2.380582836466e-116
2.9422338705e-03	9.67948444	322.87284706	9.991455130129e-143	1.334813323146e-123
2.9809474741e-03	9.80684608	327.12117399	4.879767824028e-150	6.519149633899e-131
3.0196610776e-03	9.93420772	331.36950093	1.377507412499e-157	1.840287748869e-138
3.0583746812e-03	10.06156936	335.61782786	1.815109560326e-164	2.424904473409e-145
3.0970882848e-03	10.18893099	339.86615480	1.053469093915e-169	1.407387176107e-150
3.1358018883e-03	10.31629263	344.11448173	2.139819755538e-174	2.858702643031e-155
3.1745154919e-03	10.44365427	348.36280867	3.414386342151e-178	4.561466093289e-159
3.2132290954e-03	10.57101591	352.61113560	3.954036983969e-178	5.282415001292e-159
3.2519426990e-03	10.69837754	356.85946254	1.986583560656e-177	2.653986000808e-158
3.2906563026e-03	10.82573918	361.10778947	1.051189369653e-176	1.404341567357e-157
3.3293699061e-03	10.95310082	365.35611641	5.880363629668e-176	7.855900482557e-157
3.3680835097e-03	11.08046246	369.60444334	3.481673266629e-175	4.651358388351e-156
3.4067971132e-03	11.20782409	373.85277028	2.185614754451e-174	2.919882695271e-155
3.4455107168e-03	11.33518573	378.10109721	1.457490821759e-173	1.947141974726e-154
3.4842243204e-03	11.46254737	382.34942415	1.034697368699e-172	1.382308998215e-153
3.5229379239e-03	11.58990901	386.59775108	7.837937520968e-172	1.047113087404e-152
3.5616515275e-03	11.71727064	390.84607802	6.351159016347e-171	8.484861876498e-152
3.6003651310e-03	11.84463228	395.09440495	5.519852065068e-170	7.374273298819e-151
3.6390787346e-03	11.97199392	399.34273189	5.160229950823e-169	6.893834380624e-150
3.6777923382e-03	12.09935556	403.59105882	5.204886888283e-168	6.953494034113e-149
3.7165059417e-03	12.22671719	407.83938576	5.683091778898e-167	7.592354190990e-148
3.7552195453e-03	12.35407883	412.08771269	6.741017884622e-166	9.005695733771e-147
3.7939331488e-03	12.48144047	416.33603963	8.719385260101e-165	1.164870528190e-145
3.8326467524e-03	12.60880210	420.58436656	1.234938343431e-163	1.649821905425e-144
3.8713603560e-03	12.73616374	424.83269350	1.923638647375e-162	2.569894436789e-143
3.9100739595e-03	12.86352538	429.08102043	3.311277077644e-161	4.423716768280e-142
3.9487875631e-03	12.99088702	433.32934737	6.331528054661e-160	8.458635797450e-141
3.9875011666e-03	13.11824865	437.57767430	1.352388006811e-158	1.806729356278e-139
4.0262147702e-03	13.24561029	441.82600124	3.246583649155e-157	4.337289266837e-138
4.0649283738e-03	13.37297193	446.07432817	8.818140948982e-156	1.178063842631e-136
4.1036419773e-03	13.50033357	450.32265511	2.729703807877e-154	3.646761120918e-135
4.1423555809e-03	13.62769520	454.57098204	9.707589757776e-153	1.296890190222e-133
4.1810691844e-03	13.75505684	458.81930898	4.001152593895e-151	5.345359330259e-132
4.2197827880e-03	13.88241848	463.06763591	1.930043040800e-149	2.578450417433e-130
4.2584963916e-03	14.00978012	467.31596285	1.101508819918e-147	1.471566082457e-128
4.2972099951e-03	14.13714175	471.56428978	7.531370966780e-146	1.006157179017e-126
4.3359235987e-03	14.26450339	475.81261672	6.268545925157e-144	8.374494514236e-125
4.3746372022e-03	14.39186503	480.06094365	7.051770131337e-142	9.420846713994e-123
4.4133508058e-03	14.51922667	484.30927059	1.884822122766e-112	2.518037311343e-93
4.4520644094e-03	14.64658830	488.55759752	3.417876013003e-61	4.566128136091e-42
4.4907780129e-03	14.77394994	492.80592446	3.983136641469e-02	5.321290830712e+17
4.5294916165e-03	14.90131158	497.05425139	7.988490984372e-02	1.067226350806e+18
4.5682052200e-03	15.02867322	501.30257833	1.196100598811e-01	1.597936431002e+18
4.6069188236e-03	15.15603485	505.55090526	1.221188397636e-01	1.631452598251e+18
4.6456324271e-03	15.28339649	509.79923220	1.972785041418e-01	2.635551801706e+18
4.6843460307e-03	15.41075813	514.04755913	2.417942993769e-01	3.230262740166e+18
4.7230596343e-03	15.53811977	518.29588607	2.688081819210e-01	3.591156022077e+18
4.7617732378e-03	15.66548140	522.54421300	3.285677311318e-01	4.389516635550e+18
4.8004868414e-03	15.79284304	526.79253994	3.606889211028e-01	4.818641240225e+18
4.8392004449e-03	15.92020468	531.04086687	3.299635504510e-01	4.408164151850e+18
4.8779140485e-03	16.04756632	535.28919381	3.528755137208e-01	4.714257643074e+18
4.9166276521e-03	16.17492795	539.53752074	4.058285094781e-01	5.421685773580e+18
4.9553412556e-03	16.30228959	543.78584768	3.896773667281e-01	5.205913793963e+18
4.9940548592e-03	16.42965123	548.03417461	4.528062759433e-01	6.049287536812e+18
5.0327684627e-03	16.55701286	552.28250155	4.484543226098e-01	5.991147403913e+18
5.0714820663e-03	16.68437450	556.53082848	4.505116497386e-01	6.018632366072e+18
5.1101956699e-03	16.81173614	560.77915542	7.858899436950e-01	1.049913504798e+19
5.1489092734e-03	16.93909778	565.02748235	8.571157358440e-01	1.145067949344e+19
