energy_ev,averaged_transmission,transmission_per_area_m^-2,transmission_direction,area_angstrom^2
-0.367493259667866,0.0,0.0,3,29.9411133444
-0.36565579336952664,0.0,0.0,3,29.9411133444
-0.3638183270711874,0.0,0.0,3,29.9411133444
-0.361980860772848,0.0,0.0,3,29.9411133444
-0.3601433944745087,0.0,0.0,3,29.9411133444
-0.35830592817616935,0.0,0.0,3,29.9411133444
-0.35646846187783,0.0,0.0,3,29.9411133444
-0.35463099557949074,0.0,0.0,3,29.9411133444
-0.3527935292811514,0.0,0.0,3,29.9411133444
-0.35095606298281207,0.0,0.0,3,29.9411133444
-0.3491185966844727,0.0,0.0,3,29.9411133444
-0.34728113038613334,0.0,0.0,3,29.9411133444
-0.3454436640877941,0.0,0.0,3,29.9411133444
-0.3436061977894547,0.0,0.0,3,29.9411133444
-0.3417687314911154,0.0,0.0,3,29.9411133444
-0.33993126519277606,0.0,0.0,3,29.9411133444
-0.3380937988944367,0.0,0.0,3,29.9411133444
-0.33625633259609744,0.0,0.0,3,29.9411133444
-0.3344188662977581,0.0,0.0,3,29.9411133444
-0.33258139999941877,0.0,0.0,3,29.9411133444
-0.3307439337010794,0.0,0.0,3,29.9411133444
-0.32890646740274004,0.0,0.0,3,29.9411133444
-0.3270690011044008,0.0,0.0,3,29.9411133444
-0.32523153480606143,0.0,0.0,3,29.9411133444
-0.3233940685077221,0.0,0.0,3,29.9411133444
-0.32155660220938276,0.0,0.0,3,29.9411133444
-0.3197191359110434,0.0025,8349722908575757.0,3,29.9411133444
-0.31788166961270414,0.0325,1.0854639781148483e+17,3,29.9411133444
-0.3160442033143648,0.0475,1.5864473526293936e+17,3,29.9411133444
-0.3142067370160255,0.0925,3.08939747617303e+17,3,29.9411133444
-0.3123692707176861,0.1175,3.9243697670306054e+17,3,29.9411133444
-0.31053180441934675,0.14250000000000002,4.759342057888182e+17,3,29.9411133444
-0.30869433812100744,0.17250000000000001,5.761308806917272e+17,3,29.9411133444
-0.30685687182266813,0.21250000000000002,7.097264472289394e+17,3,29.9411133444
-0.3050194055243288,0.22750000000000004,7.59824784680394e+17,3,29.9411133444
-0.30318193922598946,0.28250000000000003,9.435186886690606e+17,3,29.9411133444
-0.3013444729276501,0.3075,1.027015917754818e+18,3,29.9411133444
-0.2995070066293108,0.3375,1.1272125926577272e+18,3,29.9411133444
-0.2976695403309715,0.37750000000000006,1.2608081591949394e+18,3,29.9411133444
-0.2958320740326322,0.4025000000000001,1.344305388280697e+18,3,29.9411133444
-0.2939946077342928,0.45249999999999996,1.5112998464522117e+18,3,29.9411133444
-0.29215714143595345,0.5025,1.6782943046237268e+18,3,29.9411133444
-0.29031967513761414,0.5750000000000001,1.9204362689724242e+18,3,29.9411133444
-0.28848220883927483,0.66,2.2043268478639997e+18,3,29.9411133444
-0.28664474254093547,0.7675,2.563364932932757e+18,3,29.9411133444
-0.28480727624259616,0.8575,2.863954957641485e+18,3,29.9411133444
-0.2829698099442568,0.9325,3.114446644898757e+18,3,29.9411133444
-0.2811323436459175,1.1425,3.815823369219121e+18,3,29.9411133444
-0.2792948773475782,1.5,5.009833745145454e+18,3,29.9411133444
-0.2774574110492388,1.6550000000000002,5.527516565477152e+18,3,29.9411133444
-0.2756199447508995,1.8375,6.137046337803181e+18,3,29.9411133444
-0.27378247845256015,2.0324999999999998,6.788324724672089e+18,3,29.9411133444
-0.27194501215422084,2.0975,7.00541752029506e+18,3,29.9411133444
-0.2701075458558815,2.2175000000000002,7.406204219906697e+18,3,29.9411133444
-0.2682700795575422,2.3175,7.740193136249726e+18,3,29.9411133444
-0.26643261325920287,2.5675,8.575165427107301e+18,3,29.9411133444
-0.2645951469608635,2.7025,9.026050464170394e+18,3,29.9411133444
-0.2627576806625242,2.685,8.967602403810362e+18,3,29.9411133444
-0.26092021436418483,2.575,8.60021459583303e+18,3,29.9411133444
-0.2590827480658455,2.6125000000000003,8.725460439461667e+18,3,29.9411133444
-0.2572452817675062,2.4275,8.10758094422706e+18,3,29.9411133444
-0.25540781546916685,2.2325,7.456302557358151e+18,3,29.9411133444
-0.25357034917082755,2.0475,6.838423062123545e+18,3,29.9411133444
-0.2517328828724882,1.8624999999999998,6.220543566888937e+18,3,29.9411133444
-0.24989541657414888,1.5425,5.151779034591241e+18,3,29.9411133444
-0.24805795027580957,1.58,5.277024878219878e+18,3,29.9411133444
-0.2462204839774702,1.4875,4.968085130602575e+18,3,29.9411133444
-0.24438301767913093,1.5,5.009833745145454e+18,3,29.9411133444
-0.24254555138079156,1.6599999999999997,5.544216011294301e+18,3,29.9411133444
-0.24070808508245223,1.6675,5.569265180020029e+18,3,29.9411133444
-0.23887061878411292,1.4075000000000002,4.700893997528151e+18,3,29.9411133444
-0.23703315248577356,1.3175000000000001,4.400303972819424e+18,3,29.9411133444
-0.23519568618743425,1.0775000000000001,3.5987305735961513e+18,3,29.9411133444
-0.23335821988909491,1.0425,3.4818344528760904e+18,3,29.9411133444
-0.23152075359075558,0.9975,3.331539440521727e+18,3,29.9411133444
-0.22968328729241627,1.0325,3.4484355612417874e+18,3,29.9411133444
-0.2278458209940769,1.3025000000000002,4.35020563536797e+18,3,29.9411133444
-0.2260083546957376,1.3975,4.667495105893848e+18,3,29.9411133444
-0.22417088839739827,1.68,5.611013794562908e+18,3,29.9411133444
-0.22233342209905893,2.155,7.197461147192302e+18,3,29.9411133444
-0.22049595580071962,2.4,8.015733992232726e+18,3,29.9411133444
-0.2186584895023803,1.7,5.677811577831514e+18,3,29.9411133444
-0.21682102320404092,1.58,5.277024878219878e+18,3,29.9411133444
-0.21498355690570162,1.52,5.07663152841406e+18,3,29.9411133444
-0.21314609060736228,1.6700000000000002,5.577614902928606e+18,3,29.9411133444
-0.21130862430902295,1.6375000000000002,5.469068505117122e+18,3,29.9411133444
-0.20947115801068364,1.4725000000000001,4.917986793151121e+18,3,29.9411133444
-0.20763369171234428,1.4775,4.934686238968272e+18,3,29.9411133444
-0.20579622541400497,1.3325,4.450402310270878e+18,3,29.9411133444
-0.20395875911566563,1.3075,4.366905081185121e+18,3,29.9411133444
-0.2021212928173263,1.2725,4.25000896046506e+18,3,29.9411133444
-0.200283826518987,1.3525,4.517200093539484e+18,3,29.9411133444
-0.19844636022064763,1.3775000000000002,4.600697322625242e+18,3,29.9411133444
-0.1966088939223083,1.4925000000000002,4.984784576419727e+18,3,29.9411133444
-0.19477142762396898,1.8575,6.203844121071787e+18,3,29.9411133444
-0.19293396132562965,2.0875000000000004,6.972018628660758e+18,3,29.9411133444
-0.19109649502729031,2.2,7.347756159546666e+18,3,29.9411133444
-0.18925902872895098,2.67,8.917504066358908e+18,3,29.9411133444
-0.18742156243061164,2.69,8.984301849627514e+18,3,29.9411133444
-0.18558409613227234,2.565,8.566815704198726e+18,3,29.9411133444
-0.183746629833933,2.5475000000000003,8.508367643838696e+18,3,29.9411133444
-0.18190916353559364,2.4975,8.341373185667181e+18,3,29.9411133444
-0.18007169723725433,2.275,7.598247846803938e+18,3,29.9411133444
-0.178234230938915,2.2675,7.573198678078211e+18,3,29.9411133444
-0.1763967646405757,2.5575,8.541766535472999e+18,3,29.9411133444
-0.17455929834223635,2.7875,9.309941043061969e+18,3,29.9411133444
-0.172721832043897,3.0525,1.0195011671371e+19,3,29.9411133444
-0.17088436574555768,3.2225,1.076279282915415e+19,3,29.9411133444
-0.16904689944721835,3.35,1.1188628697491513e+19,3,29.9411133444
-0.16720943314887904,3.4050000000000002,1.1372322601480182e+19,3,29.9411133444
-0.1653719668505397,3.4125,1.1397371770205907e+19,3,29.9411133444
-0.16353450055220034,3.1775,1.0612497816799787e+19,3,29.9411133444
-0.16169703425386103,2.8575,9.54373328450209e+18,3,29.9411133444
-0.1598595679555217,2.5675,8.575165427107301e+18,3,29.9411133444
-0.1580221016571824,2.3825,7.957285931872695e+18,3,29.9411133444
-0.15618463535884305,2.3475,7.840389811152636e+18,3,29.9411133444
-0.1543471690605037,2.2325,7.456302557358151e+18,3,29.9411133444
-0.15250970276216438,2.4475,8.174378727495665e+18,3,29.9411133444
-0.15067223646382505,2.4375,8.140979835861363e+18,3,29.9411133444
-0.14883477016548574,2.2975,7.67339535298112e+18,3,29.9411133444
-0.1469973038671464,2.02,6.746576110129211e+18,3,29.9411133444
-0.14515983756880704,1.7349999999999999,5.794707698551575e+18,3,29.9411133444
-0.14332237127046774,1.48,4.943035961876848e+18,3,29.9411133444
-0.1414849049721284,1.395,4.659145382985272e+18,3,29.9411133444
-0.1396474386737891,1.225,4.0913642252021207e+18,3,29.9411133444
-0.13780997237544976,0.9275000000000001,3.097747199081606e+18,3,29.9411133444
-0.1359725060771104,0.8374999999999999,2.7971571743728783e+18,3,29.9411133444
-0.1341350397787711,0.7625000000000001,2.546665487115606e+18,3,29.9411133444
-0.13229757348043175,0.68,2.271124631132606e+18,3,29.9411133444
-0.13046010718209242,0.62,2.0707312813267876e+18,3,29.9411133444
-0.1286226408837531,0.6075,2.0289826667839089e+18,3,29.9411133444
-0.12678517458541375,0.6125,2.0456821126010604e+18,3,29.9411133444
-0.12494770828707442,0.6375,2.1291793416868178e+18,3,29.9411133444
-0.1231102419887351,0.6725,2.2460754624068785e+18,3,29.9411133444
-0.12127277569039578,0.68,2.271124631132606e+18,3,29.9411133444
-0.11943530939205646,0.71,2.371321306035515e+18,3,29.9411133444
-0.1175978430937171,0.79,2.638512439109939e+18,3,29.9411133444
-0.11576037679537778,0.8650000000000001,2.889004126367212e+18,3,29.9411133444
-0.11392291049703845,0.96,3.2062935968930903e+18,3,29.9411133444
-0.11208544419869913,1.07,3.573681404870424e+18,3,29.9411133444
-0.11024797790035981,1.215,4.0579653335678177e+18,3,29.9411133444
-0.10841051160202045,1.3375000000000001,4.46710175608803e+18,3,29.9411133444
-0.10657304530368113,1.5625,5.218576817859848e+18,3,29.9411133444
-0.1047355790053418,1.835,6.128696614894605e+18,3,29.9411133444
-0.10289811270700248,2.0124999999999997,6.721526941403483e+18,3,29.9411133444
-0.10106064640866315,2.0925000000000002,6.988718074477909e+18,3,29.9411133444
-0.0992231801103238,2.0975,7.00541752029506e+18,3,29.9411133444
-0.09738571381198448,2.0125,6.721526941403484e+18,3,29.9411133444
-0.09554824751364516,1.9875000000000003,6.638029712317728e+18,3,29.9411133444
-0.09371078121530582,1.865,6.228893289797514e+18,3,29.9411133444
-0.0918733149169665,1.7149999999999999,5.727909915282969e+18,3,29.9411133444
-0.09003584861862715,1.5400000000000003,5.143429311682666e+18,3,29.9411133444
-0.08819838232028783,1.4975,5.001484022236878e+18,3,29.9411133444
-0.0863609160219485,1.5575,5.201877372042697e+18,3,29.9411133444
-0.08452344972360917,1.5425,5.151779034591241e+18,3,29.9411133444
-0.08268598342526985,1.8425000000000002,6.153745783620334e+18,3,29.9411133444
-0.0808485171269305,1.9575,6.537833037414818e+18,3,29.9411133444
-0.07901105082859117,2.0175,6.738226387220636e+18,3,29.9411133444
-0.07717358453025185,2.0225,6.754925833037787e+18,3,29.9411133444
-0.07533611823191252,1.9825,6.621330266500574e+18,3,29.9411133444
