# meta_json: {"atom_symbols": ["N", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[1.4699710891, -2.5460646119, 0.0], [1.4699710891, 2.5460646119, 0.0], [0.0, 0.0, 2.89017508]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 1, "transverse_area_m2": 7.358572493553535e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
3.0583746812e-03	10.06156936	335.61782786	8.017967372033e-158	1.089609075545e-138
3.0970882848e-03	10.18893099	339.86615480	4.885412373463e-161	6.639076230809e-142
3.1358018883e-03	10.31629263	344.11448173	4.991301760579e-164	6.782975590648e-145
3.1745154919e-03	10.44365427	348.36280867	2.356043559873e-164	3.201767138853e-145
3.2132290954e-03	10.57101591	352.61113560	2.003015795848e-163	2.722016800953e-144
3.2519426990e-03	10.69837754	356.85946254	2.217007297030e-162	3.012822526343e-143
3.2906563026e-03	10.82573918	361.10778947	3.137770989942e-161	4.264102844255e-142
3.3293699061e-03	10.95310082	365.35611641	5.618326833797e-160	7.635077100510e-141
3.3680835097e-03	11.08046246	369.60444334	1.263803103387e-158	1.717456890578e-139
3.4067971132e-03	11.20782409	373.85277028	3.557421100679e-157	4.834390235057e-138
3.4455107168e-03	11.33518573	378.10109721	1.251511123337e-155	1.700752590850e-136
3.4842243204e-03	11.46254737	382.34942415	5.509081399297e-154	7.486617009104e-135
3.5229379239e-03	11.58990901	386.59775108	3.044625497713e-152	4.137521917981e-133
3.5616515275e-03	11.71727064	390.84607802	2.124157742397e-150	2.886643767196e-131
3.6003651310e-03	11.84463228	395.09440495	1.885123285079e-148	2.561805685451e-129
3.6390787346e-03	11.97199392	399.34273189	2.148966749456e-146	2.920358196292e-127
3.6777923382e-03	12.09935556	403.59105882	3.184777453629e-144	4.327982711890e-125
3.7165059417e-03	12.22671719	407.83938576	6.225562745961e-142	8.460285947329e-123
3.7552195453e-03	12.35407883	412.08771269	1.633072751991e-139	2.219279287419e-120
3.7939331488e-03	12.48144047	416.33603963	5.866579623807e-137	7.972442520538e-118
3.8326467524e-03	12.60880210	420.58436656	2.956000365141e-134	4.017083976180e-115
3.8713603560e-03	12.73616374	424.83269350	2.148806474283e-131	2.920140388867e-112
