temperature_k,electrical_conductance_per_area_s_m^-2,electronic_thermal_conductance_per_area_w_k^-1_m^-2,chemical_potential_ev,transmission_direction,area_angstrom^2
50.0,83477578740726.22,208956704.1587763,0.0,1,8.496948967102723
51.75879396984924,86072214803241.98,223969775.92679235,0.0,1,8.496948967102723
53.517587939698494,88735047784552.31,239378182.60624775,0.0,1,8.496948967102723
55.27638190954774,91461149042588.88,255180052.7510141,0.0,1,8.496948967102723
57.03517587939699,94245704406174.4,271377552.56244975,0.0,1,8.496948967102723
58.79396984924623,97084048548678.16,287976387.4643146,0.0,1,8.496948967102723
60.552763819095475,99971690778441.31,304985285.0408216,0.0,1,8.496948967102723
62.311557788944725,102904333454621.08,322415481.4019367,0.0,1,8.496948967102723
64.07035175879398,105877884163558.88,340280226.4589558,0.0,1,8.496948967102723
65.82914572864321,108888462695970.03,358594318.3342092,0.0,1,8.496948967102723
67.58793969849246,111932403759731.3,377373673.07862103,0.0,1,8.496948967102723
69.34673366834171,115006256254382.22,396634932.8590686,0.0,1,8.496948967102723
71.10552763819095,118106779826914.33,416395113.6167893,0.0,1,8.496948967102723
72.8643216080402,121230939327454.88,436671291.7091203,0.0,1,8.496948967102723
74.62311557788945,124375897690180.53,457480328.07102156,0.0,1,8.496948967102723
76.3819095477387,127539007680337.45,478838627.83708495,0.0,1,8.496948967102723
78.14070351758794,130717802873014.06,500761933.042067,0.0,1,8.496948967102723
79.89949748743719,133909988163223.45,523265145.88501817,0.0,1,8.496948967102723
81.65829145728644,137113430049492.28,546362180.0357715,0.0,1,8.496948967102723
83.41708542713567,140326146883912.05,570065837.5365492,0.0,1,8.496948967102723
85.17587939698493,143546299239758.16,594387708.9725453,0.0,1,8.496948967102723
86.93467336683418,146772180512547.3,619338094.73049,0.0,1,8.496948967102723
88.69346733668343,150002207841022.62,644925945.3180888,0.0,1,8.496948967102723
90.45226130653266,153234913410277.53,671158818.8699149,0.0,1,8.496948967102723
92.21105527638191,156468936179362.66,698042854.1110903,0.0,1,8.496948967102723
93.96984924623115,159703014059637.2,725582757.1857725,0.0,1,8.496948967102723
95.7286432160804,162935976557248.62,753781800.8818939,0.0,1,8.496948967102723
97.48743718592965,166166737882955.94,782641834.896711,0.0,1,8.496948967102723
99.2462311557789,169394290524600.88,812163305.8902228,0.0,1,8.496948967102723
101.00502512562815,172617699271501.88,842345286.1663969,0.0,1,8.496948967102723
102.76381909547739,175836095675562.8,873185509.906701,0.0,1,8.496948967102723
104.52261306532664,179048672930667.47,904680415.9577676,0.0,1,8.496948967102723
106.28140703517587,182254681149739.72,936825196.2463297,0.0,1,8.496948967102723
108.04020100502512,185453423017480.4,969613848.9608532,0.0,1,8.496948967102723
109.79899497487438,188644249796075.66,1003039235.7013096,0.0,1,8.496948967102723
111.55778894472363,191826557660975.12,1037093141.8571033,0.0,1,8.496948967102723
113.31658291457288,194999784344036.47,1071766339.5287434,0.0,1,8.496948967102723
115.07537688442211,198163406061834.94,1107048652.3618379,0.0,1,8.496948967102723
116.83417085427136,201316934707664.2,1142929021.7127662,0.0,1,8.496948967102723
118.5929648241206,204459915286643.75,1179395573.6140766,0.0,1,8.496948967102723
120.35175879396985,207591923574347.3,1216435686.0544255,0.0,1,8.496948967102723
122.1105527638191,210712563980433.84,1254036056.1327717,0.0,1,8.496948967102723
123.86934673366835,213821467599871.66,1292182766.6896627,0.0,1,8.496948967102723
125.62814070351759,216918290435460.47,1330861352.0596473,0.0,1,8.496948967102723
127.38693467336684,220002711776467.88,1370056862.6282852,0.0,1,8.496948967102723
129.1457286432161,223074432719283.16,1409753927.9147086,0.0,1,8.496948967102723
130.90452261306532,226133174817045.25,1449936817.936307,0.0,1,8.496948967102723
132.66331658291458,229178678846213.12,1490589502.6457157,0.0,1,8.496948967102723
134.42211055276383,232210703679009.38,1531695709.262,0.0,1,8.496948967102723
136.18090452261305,235229025251583.03,1573238977.347555,0.0,1,8.496948967102723
137.9396984924623,238233435618600.1,1615202711.5100093,0.0,1,8.496948967102723
139.69849246231155,241223742085771.6,1657570231.634044,0.0,1,8.496948967102723
141.4572864321608,244199766412589.1,1700324820.57186,0.0,1,8.496948967102723
143.21608040201005,247161344078236.22,1743449769.242818,0.0,1,8.496948967102723
144.9748743718593,250108323604296.3,1786928419.1127195,0.0,1,8.496948967102723
146.73366834170855,253040565928476.6,1830744202.0412982,0.0,1,8.496948967102723
148.4924623115578,255957943824127.9,1874880677.5028603,0.0,1,8.496948967102723
150.25125628140705,258860341360846.7,1919321567.1996315,0.0,1,8.496948967102723
152.0100502512563,261747653401914.94,1964050787.100386,0.0,1,8.496948967102723
153.76884422110552,264619785134763.88,2009052476.9484437,0.0,1,8.496948967102723
155.52763819095478,267476651631040.9,2054311027.2931414,0.0,1,8.496948967102723
157.28643216080403,270318177433211.97,2099811104.1074944,0.0,1,8.496948967102723
159.04522613065328,273144296164961.94,2145537671.0622222,0.0,1,8.496948967102723
160.8040201005025,275954950162949.62,2191476009.532444,0.0,1,8.496948967102723
162.56281407035175,278750090127741.0,2237611736.4184284,0.0,1,8.496948967102723
164.321608040201,281529674791986.3,2283930819.8658733,0.0,1,8.496948967102723
166.08040201005025,284293670604129.1,2330419592.974334,0.0,1,8.496948967102723
167.8391959798995,287042051426127.9,2377064765.5846334,0.0,1,8.496948967102723
169.59798994974875,289774798243852.4,2423853434.2377014,0.0,1,8.496948967102723
171.356783919598,292491898888973.1,2470773090.39802,0.0,1,8.496948967102723
173.11557788944725,295193347771307.7,2517811627.0350847,0.0,1,8.496948967102723
174.8743718592965,297879145620713.06,2564957343.655953,0.0,1,8.496948967102723
176.63316582914575,300549299237729.25,2612198949.88106,0.0,1,8.496948967102723
178.39195979899498,303203821252277.8,2659525567.6542187,0.0,1,8.496948967102723
180.15075376884423,305842729889811.9,2706926732.1761107,0.0,1,8.496948967102723
181.90954773869348,308466048744392.4,2754392391.6485376,0.0,1,8.496948967102723
183.66834170854273,311073806558235.1,2801912905.914501,0.0,1,8.496948967102723
185.42713567839198,313666037007335.56,2849479044.076718,0.0,1,8.496948967102723
187.1859296482412,316242778492834.56,2897081981.174485,0.0,1,8.496948967102723
188.94472361809045,318804073937831.75,2944713293.9960294,0.0,1,8.496948967102723
190.7035175879397,321349970589398.75,2992364956.100546,0.0,1,8.496948967102723
192.46231155778895,323880519825577.1,3040029332.1211057,0.0,1,8.496948967102723
194.2211055276382,326395776967180.44,3087699171.4166,0.0,1,8.496948967102723
195.97989949748745,328895801094242.94,3135367601.137708,0.0,1,8.496948967102723
197.7386934673367,331380654866982.3,3183028118.7688212,0.0,1,8.496948967102723
199.49748743718592,333850404351163.7,3230674584.204748,0.0,1,8.496948967102723
201.25628140703517,336305118847767.3,3278301211.4179244,0.0,1,8.496948967102723
203.01507537688443,338744870726875.3,3325902559.768786,0.0,1,8.496948967102723
204.77386934673368,341169735265707.44,3373473525.009064,0.0,1,8.496948967102723
206.53266331658293,343579790490741.9,3421009330.0247164,0.0,1,8.496948967102723
208.29145728643218,345975117023864.75,3468505515.3624244,0.0,1,8.496948967102723
210.0502512562814,348355797932500.9,3515957929.5807934,0.0,1,8.496948967102723
211.80904522613065,350721918583678.94,3563362719.4646792,0.0,1,8.496948967102723
213.5678391959799,353073566501990.94,3610716320.1384697,0.0,1,8.496948967102723
215.32663316582915,355410831231405.1,3658015445.111654,0.0,1,8.496948967102723
217.0854271356784,357733804200897.56,3705257076.287577,0.0,1,8.496948967102723
218.84422110552765,360042578593861.44,3752438453.9639373,0.0,1,8.496948967102723
220.6030150753769,362337249221261.44,3799557066.8514357,0.0,1,8.496948967102723
222.36180904522612,364617912398494.8,3846610642.1348042,0.0,1,8.496948967102723
224.12060301507537,366884665825921.0,3893597135.598423,0.0,1,8.496948967102723
225.87939698492463,369137608473022.3,3940514721.8368535,0.0,1,8.496948967102723
227.63819095477388,371376840466157.0,3987361784.568785,0.0,1,8.496948967102723
229.39698492462313,373602462979860.75,4034136907.0710835,0.0,1,8.496948967102723
231.15577889447238,375814578131658.25,4080838862.7481356,0.0,1,8.496948967102723
232.91457286432163,378013288880337.25,4127466605.8500113,0.0,1,8.496948967102723
234.67336683417085,380198698927641.25,4174019262.3515787,0.0,1,8.496948967102723
236.4321608040201,382370912623333.0,4220496121.0033092,0.0,1,8.496948967102723
238.19095477386935,384530034873580.4,4266896624.5632644,0.0,1,8.496948967102723
239.9497487437186,386676171052612.7,4313220361.218471,0.0,1,8.496948967102723
241.70854271356785,388809426917597.5,4359467056.202864,0.0,1,8.496948967102723
243.4673366834171,390929908526682.44,4405636563.617846,0.0,1,8.496948967102723
245.22613065326635,393037722160148.9,4451728858.460544,0.0,1,8.496948967102723
246.98492462311557,395132974244618.7,4497744028.863964,0.0,1,8.496948967102723
248.74371859296483,397215771280261.8,4543682268.552367,0.0,1,8.496948967102723
