# meta_json: {"summary": {"has_transmission_per_m2": true, "n_temperature_points": 401, "temperature_max_k": 400.0, "temperature_min_k": 0.0, "transmission_metadata": {"atom_symbols": ["N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[4.4099132673, -7.6381938357, 0.0], [4.4099132673, 7.6381938357, 0.0], [0.0, 0.0, 8.67052524]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 2, "transverse_area_m2": 6.622715244198181e-19}, "transmission_path": "/home/zhouhb/Desktop/workspace/TaN/phonon_hybrid/N3.7%/y/transmission.tsv"}}
# temperature_K	conductance_W_per_K	conductance_per_area_W_per_m2K
0.00000000	0.000000000000e+00	0.000000000000e+00
1.00000000	5.679181992409e-14	8.575307533240e+04
2.00000000	1.356476298096e-13	2.048217759755e+05
3.00000000	2.145034052096e-13	3.238904245467e+05
4.00000000	2.933613436603e-13	4.429623392268e+05
5.00000000	3.722696370947e-13	5.621102876510e+05
6.00000000	4.515387598136e-13	6.818030719487e+05
7.00000000	5.321525220317e-13	8.035262009761e+05
8.00000000	6.161790001388e-13	9.304023763948e+05
9.00000000	7.070640462248e-13	1.067634678758e+06
10.00000000	8.098201303765e-13	1.222791710826e+06
11.00000000	9.311226595494e-13	1.405953034694e+06
12.00000000	1.079296539130e-12	1.629688880365e+06
13.00000000	1.264180833980e-12	1.908855790059e+06
14.00000000	1.496884008989e-12	2.260227042527e+06
15.00000000	1.789461289530e-12	2.702005481962e+06
16.00000000	2.154550935663e-12	3.253274308526e+06
17.00000000	2.605001519323e-12	3.933434283779e+06
18.00000000	3.153513939529e-12	4.761663189871e+06
19.00000000	3.812313984994e-12	5.756421413911e+06
20.00000000	4.592865195115e-12	6.935018381076e+06
21.00000000	5.505627506008e-12	8.313248121050e+06
22.00000000	6.559864152425e-12	9.905097698669e+06
23.00000000	7.763497042831e-12	1.172252883684e+07
24.00000000	9.123009049412e-12	1.377533037889e+07
25.00000000	1.064339023899e-11	1.607103709964e+07
26.00000000	1.232812398425e-11	1.861490873407e+07
27.00000000	1.417920813326e-11	2.140996194224e+07
28.00000000	1.619720596894e-11	2.445704725585e+07
29.00000000	1.838132153238e-11	2.775496281301e+07
30.00000000	2.072949397256e-11	3.130059682201e+07
31.00000000	2.323850586919e-11	3.508909112400e+07
32.00000000	2.590410090231e-11	3.911401886863e+07
33.00000000	2.872110676058e-11	4.336757010011e+07
34.00000000	3.168355974716e-11	4.784073990637e+07
35.00000000	3.478482812049e-11	5.252351465807e+07
36.00000000	3.801773176995e-11	5.740505271347e+07
37.00000000	4.137465635354e-11	6.247385676107e+07
38.00000000	4.484766050254e-11	6.771793569387e+07
39.00000000	4.842857512044e-11	7.312495454619e+07
40.00000000	5.210909416631e-11	7.868237157254e+07
41.00000000	5.588085661806e-11	8.437756200829e+07
42.00000000	5.973551956002e-11	9.019792842875e+07
43.00000000	6.366482253861e-11	9.613099792323e+07
44.00000000	6.766064348293e-11	1.021645065326e+08
45.00000000	7.171504660087e-11	1.082864715702e+08
